Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
-3.083630755922315051e-04,7.850443367185667640e-03,-2.587949601951518575e-01,-2.468327434139432064e-01,-2.240076607082477633e-01,-2.044500205553777261e-01,-2.496865163506945817e-01,-1.973130673620230313e-01,-2.536139020335190231e-01,-5.419936395566366319e-03
-1.733978269323311705e-04,-2.699609117127708957e-03,-2.586158846329828509e-01,-2.552526016859753000e-01,-2.065326985846067942e-01,-2.234508089065716241e-01,-2.471298694665957640e-01,-2.209659334879376658e-01,-2.643761513888216452e-01,3.717118742002313916e-03
2.142623003445769461e-03,5.232519014157668673e-03,-2.551897022380117397e-01,-2.608357410933501153e-01,-2.193702627274727590e-01,-2.271044202102713294e-01,-2.497912837719146739e-01,-2.185763225528458975e-01,2.626602685648372071e-01,5.451886349151667795e-06
6.175018499783475889e-03,2.821364736341946001e-03,-2.615400298822585512e-01,-2.446684157083369449e-01,-2.172606269306683324e-01,-2.186878042076692563e-01,-2.561428354556626319e-01,-2.288793682116881945e-01,2.547269631806396428e-01,-2.664931215969384027e-03
-2.826528473983575072e-03,-2.791569391104978953e-03,-2.341571703128471627e-01,-2.581420776655928839e-01,-2.147973658814913145e-01,-2.445948889385400060e-01,-2.424461635066850751e-01,2.205141172652111958e-01,-2.421301578970865565e-01,-1.062729390675152923e-03
-3.799568451856990322e-03,5.750651602854637591e-03,-2.515460407743238536e-01,-2.460537944655775411e-01,-2.178105938810958042e-01,-2.158509320181888069e-01,-2.568748186903160313e-01,2.267170964253403809e-01,-2.405756408232952448e-01,4.777112996916428773e-03
5.930073454810834074e-03,4.859113508562380550e-03,-2.534337203379847248e-01,-2.483931785600395348e-01,-2.159266664245572953e-01,-2.135770392873282131e-01,-2.470096821419165145e-01,2.234705501493811919e-01,2.535132770623984011e-01,-1.218508898821368336e-03
-1.190072335418472169e-02,1.281279315338423354e-02,-2.559294953290748298e-01,-2.460396192383566827e-01,-2.052494171026846004e-01,-1.962579394036115810e-01,-2.266863763472391768e-01,1.991970745165055068e-01,2.550597843495374661e-01,-1.874593682752600469e-03
3.669067526959121552e-03,-3.787051683386200105e-03,-2.492732952854308237e-01,-2.492489114877873835e-01,-1.938587196569852011e-01,-2.116115623930561462e-01,2.599726841606605499e-01,-2.030059849138565464e-01,-2.480566438709260191e-01,8.367031536756011634e-03
-9.229468406865469488e-03,-1.377853599276065901e-03,-2.541381282508665129e-01,-2.463775878895442251e-01,-2.138749051334461471e-01,-2.210590042459447402e-01,2.635103935373644402e-01,-2.058244615567273172e-01,-2.502946108351852827e-01,1.220123892443743772e-02
1.472281957540980124e-02,1.406350832056870587e-02,-2.478461708555622922e-01,-2.484268742143628805e-01,-2.096864812846812309e-01,-2.026975624156631683e-01,2.407378699230733055e-01,-2.204686130366497465e-01,2.391960774855503291e-01,8.883215581557748000e-03
-7.375347364236086584e-03,3.978014522455507879e-03,-2.334229855870595949e-01,-2.331667733688590760e-01,-2.066872932492552772e-01,-2.130311311266602781e-01,2.445090428615893097e-01,-2.164847854846154440e-01,2.486726090521249044e-01,-8.579266646694935772e-03
5.294773792883522741e-03,5.763160442675271250e-03,-2.282530397961983482e-01,-2.489388884543048963e-01,-2.079271491977253139e-01,-2.211318965502545864e-01,2.490975876068237393e-01,2.255988794789852980e-01,-2.414145425761388131e-01,4.987889248686293471e-03
