Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
5.086079242530038014e-02,1.561054868122908369e-02,-1.589159431515441145e-02,-3.727942679774651213e-02,4.261928843210693874e-03,6.898837884063915502e-03,-4.975228984846567087e-03,-2.689264600858598791e-03,3.069789513209604179e-02,6.588108641137961630e-02
1.692920378186554484e-02,1.895140939862193299e-02,8.020896881821499083e-03,-2.378977311300749242e-02,1.348933404820795712e-02,-2.779794657760562004e-02,-1.621261641628624767e-02,1.871041632818749509e-02,-1.767913502813334148e-02,-6.830592408226121570e-02
4.184894999515934022e-02,1.428400716019171193e-02,7.692500492058573476e-04,1.547163541938363434e-04,9.923107261996709505e-03,-7.680901703473239257e-03,-3.932331013940792985e-02,-6.140161581348146588e-03,-2.604379663624784361e-02,6.855316316258598663e-02
3.439016273054946310e-02,3.255515557064486698e-02,-6.491879167766493285e-03,-1.032248997799308128e-02,3.434874070498845217e-02,-1.764593183632517243e-02,-2.340321481768824902e-02,7.685914927064946799e-03,7.064018837693699163e-03,-6.302419967614096563e-02
6.101728584741005629e-02,2.260765309702690226e-02,-9.369080529667007636e-04,-2.257929350280934999e-02,2.938948682076187105e-02,-2.016835143675171568e-02,2.365243364669081011e-04,-2.606406820441170905e-02,4.883763413061190106e-02,6.265187216370146639e-02
5.591189625885570336e-02,3.018711974284300423e-02,5.547261028573632555e-03,-1.633587585832810621e-02,-1.166144487198045830e-02,-1.775437735290948116e-02,-1.533749807001185544e-02,-1.468249226155240615e-03,-7.048348776062076868e-03,-8.500266683519049071e-02
5.972036776095156901e-02,9.863953165584863486e-03,-2.155663713373114423e-03,6.166228754020137287e-05,1.617177358235106360e-02,-4.023767713049054839e-02,-1.269664888207305484e-02,-1.172353420786049170e-02,-2.161439631315163409e-02,9.030442895471864351e-02
6.610703719744688567e-02,-1.247316562842991881e-02,-2.161175050337822354e-02,-5.528877469560212511e-03,1.556102652997808609e-02,-1.631856881356196984e-02,-3.455004763668523271e-02,6.015941121630239211e-03,4.342910288954485512e-03,-7.481346414616771301e-02
5.875524258153975304e-02,-7.045870243891455727e-03,-1.704098590091528836e-02,-3.590878270959449448e-02,3.596433389227505703e-03,-2.388320558395387594e-02,-6.396866705838208378e-03,9.146948170775343750e-03,1.094960926230700848e-02,7.118327292925033523e-02
4.993512852400336377e-02,2.308673369128617925e-02,2.100808003666794748e-04,-2.541280618326270755e-03,1.617222579134500529e-02,-4.553998913638695328e-02,3.967886007748330085e-02,8.305234953636546347e-03,2.335024154563531198e-02,-5.985356600623870788e-02
