F1,F2,F3,F4,F5,F6,F7,F8,F9
-8.465044592935919154e-02,-1.947125610324201561e-01,-2.847870572745154760e-01,-2.478691117352918027e-01,-2.245427493147454934e-01,-2.391206236998899837e-01,-2.978151663619615919e-01,-1.929997808201054654e-01,-7.977658678468439735e-02
-8.263004153371808491e-02,-1.914103301577931293e-01,-2.931504183182219170e-01,-2.567878764654535351e-01,-2.424532945688486207e-01,-2.381568252920494844e-01,-3.065411053506119643e-01,-1.993170154578962627e-01,1.111047017319153757e-01
-1.035537551384534544e-01,-1.855809823805338044e-01,-2.960422290525917544e-01,-2.485547893686979870e-01,-2.444905627457966135e-01,-2.331733562605150245e-01,-3.056297582111361377e-01,1.883364793692147987e-01,-9.345180115666068543e-02
-8.785184245126340108e-02,-1.727665444938361328e-01,-2.976923365613923789e-01,-2.370355983242592446e-01,-2.443788936254744359e-01,-2.306110083941440847e-01,-3.136986022523527429e-01,1.906742304873236260e-01,8.211446944059093422e-02
-8.257733406094121265e-02,-1.915270834474148975e-01,-2.874631395373447029e-01,-2.341255686803624669e-01,-2.312188373793489793e-01,-2.571098205377410628e-01,2.989663543777502652e-01,-2.117030597986742091e-01,-1.061443974032029863e-01
-7.726578057345319384e-02,-1.959235960475378679e-01,-2.882501075646568545e-01,-2.060413601269385497e-01,-2.495434759525264334e-01,-2.561914144343984678e-01,3.152658108218530097e-01,-2.234513994380117607e-01,1.178500225420284625e-01
-6.678751249789556532e-02,-1.814753275331347504e-01,-2.780815110825747283e-01,-2.318004319587330386e-01,-2.287679200261248658e-01,-2.599537598847079245e-01,3.078644458978879173e-01,2.135588547016812055e-01,-1.179520310652222848e-01
-7.529279367702669534e-02,-1.825437686064328713e-01,-2.741783206911201365e-01,-2.241744041941593490e-01,-2.270812436614119689e-01,-2.367703602466694202e-01,3.391218171814947557e-01,2.237394318655404890e-01,1.083416044809840523e-01
-1.036416429728461847e-01,-1.951032711761465088e-01,-2.822893170018373477e-01,-2.543089808128631835e-01,-2.372917971877416543e-01,2.388080370313598044e-01,-3.030369649933648546e-01,-1.922503636417408901e-01,-8.117598993677514752e-02
-8.450977221685364305e-02,-1.849321637809614172e-01,-2.638400062905508769e-01,-2.382692271332973177e-01,-2.775145350934696276e-01,2.408619504289350732e-01,-3.028394348888970300e-01,-2.078609745965213085e-01,8.889062821362110622e-02
-8.575995343178507979e-02,-1.888382911029255207e-01,-2.984107292908843023e-01,-2.357124464339086789e-01,-2.321746126404401478e-01,2.433445704146016131e-01,-3.431380072806183845e-01,1.736441620205346203e-01,-8.451607322567965264e-02
-8.547538160753744008e-02,-1.783205425353694695e-01,-2.724047452865681618e-01,-2.488380109029814657e-01,-2.512990648240623903e-01,2.295665127769924985e-01,-3.321846792996007713e-01,2.161557086483971712e-01,1.009628661538673894e-01
-6.744191784417086222e-02,-1.680751458496645701e-01,-2.820701805201273338e-01,-2.280113675284947405e-01,-2.706205367013576613e-01,2.372514038541702064e-01,3.224973736050980588e-01,-2.189589540835897574e-01,-8.360932585091666869e-02
-9.723537845232116394e-02,-1.829471694878884447e-01,-2.722250428903135733e-01,-2.452738511188007065e-01,-2.791871508265261204e-01,2.507129374360251850e-01,3.071343078354528133e-01,-2.122629987142626018e-01,9.433324291258143868e-02
-7.579347964567610674e-02,-1.634191646197358794e-01,-2.726250017712667506e-01,-2.351502001807516673e-01,-2.477977784289433494e-01,2.420100847090302376e-01,3.418352867102292247e-01,2.112122516908347403e-01,-9.528071551536318462e-02
-7.173072436072878977e-02,-1.899143088913429478e-01,-2.734749316053727286e-01,-2.307370261281934953e-01,-2.445806315012938048e-01,2.443570734727429361e-01,3.367233227495497472e-01,2.147462617768931825e-01,1.257861305411785702e-01
-9.298169730086680573e-02,-1.762795764766328099e-01,-3.070305706158270032e-01,-2.532517570016379338e-01,2.330860912543561703e-01,-2.368994020113836252e-01,-2.947761858405265611e-01,-1.708838663519586798e-01,-8.996057661398949856e-02
-8.318405784835593286e-02,-1.895470623332992377e-01,-2.917408597531459535e-01,-2.411022004056583845e-01,2.531621363651525569e-01,-2.299209874943151655e-01,-3.126006861070912413e-01,-1.948358568873569396e-01,8.544248373365410931e-02
-8.892790451114990224e-02,-1.665894670172841929e-01,-2.879789184912779354e-01,-2.700448740372301537e-01,2.532312101929806714e-01,-2.518964346237371754e-01,-3.165538907792095347e-01,1.529983493112292980e-01,-1.161485227452715291e-01
-1.061826149112225226e-01,-1.807265535505384602e-01,-2.833614983117830888e-01,-2.525345070132046232e-01,2.211143976240587949e-01,-2.382761728329179374e-01,-3.425408154729874255e-01,1.751141922879382862e-01,8.963552340895662718e-02
-9.188319342441444992e-02,-1.797523431362318402e-01,-2.901332846313566249e-01,-2.329051293761678632e-01,2.448668024768071716e-01,-2.555916645092922712e-01,3.080279363155076777e-01,-1.701202067882799651e-01,-1.124427596236008131e-01
-9.988442885115780823e-02,-1.720085405049967542e-01,-2.978342826968066182e-01,-2.437235891779191421e-01,2.601090822259307100e-01,-2.613865876486570761e-01,3.062059370455045282e-01,-2.146658261745085505e-01,1.004894281147060559e-01
-9.123088377715218855e-02,-1.692327146815632011e-01,-2.800419408692272349e-01,-2.484600286896911647e-01,2.573172759052853587e-01,-2.519447243695936423e-01,3.217466116417005417e-01,1.938221228305696819e-01,-1.094092247266131301e-01
-8.504457558627108449e-02,-1.730984965500045325e-01,-2.851465273519757648e-01,-2.226093328848825492e-01,2.660879436847885526e-01,-2.424258939474114583e-01,3.134820352531357823e-01,2.082796464477368603e-01,1.151539594708952674e-01
-8.753779909375224155e-02,-1.660971117216360760e-01,-2.826753191120075503e-01,-2.617723345982924110e-01,2.703989799606885125e-01,2.591561560013038723e-01,-3.126192682064522499e-01,-1.738236190296811312e-01,-7.797952930715346120e-02
-1.077746635951783022e-01,-1.812057120867963944e-01,-2.777692838813306531e-01,-2.353839979603851995e-01,2.488948613781497288e-01,2.554372195703725201e-01,-3.158088447837642532e-01,-1.919503599459971288e-01,8.314732675273492357e-02
-7.540125867622232692e-02,-1.906029665104616300e-01,-2.556479623819812308e-01,-2.551803537754729345e-01,2.628782807229255725e-01,2.737684251514764244e-01,-3.225101304742585828e-01,1.855186550147091273e-01,-1.122525378671279245e-01
-8.846843297394146877e-02,-1.814101044535921525e-01,-2.645558439323071331e-01,-2.481261777493372900e-01,2.463665171370335860e-01,2.546501899123294055e-01,-3.485812664100655378e-01,1.805458698611042689e-01,8.743374494897551696e-02
-8.558682425352477641e-02,-1.669924276793473827e-01,-2.610061133155994750e-01,-2.650523218888770627e-01,2.452510750133902739e-01,2.633199808851822143e-01,3.107625306583980396e-01,-2.063847724228169422e-01,-7.287527923329897850e-02
-8.725357722245863368e-02,-1.604732455544416458e-01,-2.695353460136894475e-01,-2.510575975024059159e-01,2.622858719131959671e-01,2.449962537274261443e-01,3.338761193464480637e-01,-2.040271094069502911e-01,9.045212321096289532e-02
-8.354686883311678025e-02,-1.729180822759877334e-01,-2.683545214608643037e-01,-2.531052369190036622e-01,2.338028706161296433e-01,2.697960489978160625e-01,3.314194020427896903e-01,1.887937087346510112e-01,-1.049440880241243323e-01
-8.561577165866647576e-02,-1.738291194091594605e-01,-2.834915560540955393e-01,-2.376317800359150079e-01,2.450456715569699073e-01,2.415561277412338059e-01,3.373637217217798079e-01,2.086803698651908678e-01,1.081393612804249643e-01
-8.731018906447597649e-02,-1.905451819199271146e-01,-3.106996013442485105e-01,2.296467653326136060e-01,-2.642287473787892638e-01,-2.377807477657220003e-01,-2.716193800199231401e-01,-2.066972508259921626e-01,-8.442237939071395303e-02
-8.469621742848817969e-02,-2.028157970279111655e-01,-3.009005477489750668e-01,2.282014196279802953e-01,-2.463642450568932218e-01,-2.374764548822926313e-01,-3.031703674806683346e-01,-2.002364211235129199e-01,9.005312368855386551e-02
-8.429228152679450747e-02,-2.023561553585058181e-01,-2.988869051436151558e-01,2.250345565269087356e-01,-2.549347069521447073e-01,-2.428651047374273120e-01,-3.163092567501246677e-01,1.980408388445841494e-01,-9.699644973390450509e-02
-7.287638783216948690e-02,-1.964129788417364186e-01,-2.973750615069780112e-01,2.301128295877570562e-01,-2.552429330865254586e-01,-2.339824819357938512e-01,-3.278889156856329978e-01,2.053552917129194133e-01,9.350695923064622495e-02
-7.794513687637093236e-02,-1.902479470255213911e-01,-3.005201899243190033e-01,2.288973878191458700e-01,-2.484448171709762176e-01,-2.718861244155100776e-01,2.777436126705921660e-01,-2.128901068975973809e-01,-1.141719363419448074e-01
-1.130370729143544140e-01,-1.735905496482413601e-01,-3.063765498000504683e-01,2.324688085854906272e-01,-2.697798513525781483e-01,-2.513960954812934911e-01,2.746216422523340417e-01,-2.112966660598656621e-01,1.088606319418321255e-01
-8.009585557908419085e-02,-1.754419213847204506e-01,-2.824058939207051422e-01,2.189441056610810232e-01,-2.415520239188494456e-01,-2.474530607032592311e-01,3.028901838687516057e-01,2.179215849470952093e-01,-1.052396475682505217e-01
-6.838333301518452478e-02,-1.690898558613974090e-01,-2.825018996351193468e-01,2.272883237514663757e-01,-2.575461231631784864e-01,-2.555434165514613443e-01,3.014643531154328482e-01,2.094956770007050662e-01,1.187724113613679161e-01
