Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
-1.831247197822783168e-01,-2.016086297989358733e-01,-1.889456571081395975e-01,-1.805299226537815938e-01,-1.887022257956771365e-01,-1.787685625008095525e-01,-1.709123756962471208e-01,-1.812191892223304346e-01,-1.642255455618573945e-01
-1.683376259744518710e-01,-1.911040061767892706e-01,-1.864355834879849461e-01,-1.764047619688440816e-01,-1.706276089087315206e-01,-1.863575447421001730e-01,-1.767581575208580225e-01,-2.146726629943119524e-01,1.830026899169962251e-01
-1.767024239668710528e-01,-1.797433843705787682e-01,-1.644987736955183244e-01,-1.985920742894111413e-01,-1.918877613979148300e-01,-1.780741096616395569e-01,-1.896447300396547631e-01,1.669588053387112969e-01,-1.930570266806924395e-01
-1.825272730825654166e-01,-1.951810984949116645e-01,-1.736028470376710653e-01,-1.909924329195661075e-01,-1.403900349579367268e-01,-1.694204723912544341e-01,-2.181105216610315367e-01,2.025571601443447167e-01,1.932439249268520232e-01
-1.915817586416282137e-01,-1.655456613286075684e-01,-1.672188036146247947e-01,-1.741763048184085116e-01,-1.639398813296069068e-01,-2.013041297161303200e-01,1.911638371718796803e-01,-1.859942340073098554e-01,-2.030436088449247001e-01
-1.916021749422670561e-01,-1.603740133982952953e-01,-1.791886602028992803e-01,-1.630596465081448343e-01,-1.746104731047939673e-01,-2.091688935753549805e-01,2.038524459138012501e-01,-2.066055735578191943e-01,2.019925783500661765e-01
-1.848268826917610075e-01,-1.755881401111806517e-01,-1.679446357887700025e-01,-1.578520958321430190e-01,-1.828312247300747928e-01,-1.712657488922271209e-01,1.977927003128225059e-01,2.117000538075670124e-01,-2.341585585372623624e-01
-1.895335852506253582e-01,-1.854391439438947409e-01,-1.790511570139328990e-01,-1.687127151848323570e-01,-1.630783413895962319e-01,-1.538018429876366611e-01,2.120704793398427712e-01,2.279708204517708614e-01,2.252313514912998305e-01
-1.776642881266770058e-01,-1.642587379505378309e-01,-1.762867234823204954e-01,-1.719206535935902391e-01,-1.925570060262370986e-01,1.801459279804504265e-01,-2.030030713525650399e-01,-1.954018990099632702e-01,-1.880415549734547054e-01
-1.800602344699046564e-01,-1.983702282152896013e-01,-1.689926021101401110e-01,-1.826091531685362646e-01,-1.913277971322684956e-01,1.741266696257951496e-01,-1.796074036439349597e-01,-1.896406119095085663e-01,1.640510638100207141e-01
-1.717570887021218629e-01,-1.546652242512916442e-01,-1.782730187883751205e-01,-2.006943804193278558e-01,-1.945330034847403966e-01,1.864466211246804395e-01,-2.001996114811815108e-01,1.775965049487682468e-01,-2.093771429948794172e-01
-1.726459299509925105e-01,-1.720658323798064659e-01,-1.612934862198255326e-01,-1.986362182528057518e-01,-1.948405302794221916e-01,1.688570731775179135e-01,-2.085820702314424013e-01,2.099299324598749017e-01,2.056707788960712990e-01
-1.829804404222984682e-01,-1.827211035231524894e-01,-1.838617079311945790e-01,-1.991248832229156884e-01,-1.995906539369152466e-01,1.796403698972798280e-01,1.751054426597138391e-01,-1.960094691958688407e-01,-2.058183990409757913e-01
-1.712642481355391710e-01,-1.618209388243303515e-01,-1.530437674807184900e-01,-1.960654863644064327e-01,-2.098236938506356786e-01,1.783218442994500552e-01,1.873955563477218977e-01,-2.076064236103706273e-01,1.928823870165437826e-01
-1.869644206053403535e-01,-1.865860655390723655e-01,-1.749042993789663158e-01,-1.874795148388299637e-01,-1.810563161746037986e-01,1.887695512632336647e-01,2.016096705236912756e-01,1.955555467486300991e-01,-1.999670102829081142e-01
-1.659589448572232340e-01,-1.706283943722641527e-01,-1.574606047133369768e-01,-1.917805730460296620e-01,-1.935471706081093313e-01,1.856147266068595703e-01,2.015787949774194565e-01,2.169496841404958409e-01,2.098518325807146034e-01
-2.040761569761145033e-01,-1.788892067165474276e-01,-1.587345635526486165e-01,-1.821020128208888367e-01,1.794529227021999240e-01,-1.985389613951983878e-01,-1.629439991000717347e-01,-1.737654419358439228e-01,-1.715744969710359669e-01
-1.701330920675667158e-01,-1.759182922900413837e-01,-1.827321612720516630e-01,-1.961153270224797185e-01,1.781322061093512377e-01,-2.149196828630639544e-01,-1.913994516304515225e-01,-1.938412183516728948e-01,1.675471192881258786e-01
-1.925603152768075310e-01,-1.722013868450006091e-01,-1.650138367127589323e-01,-1.845021800044644722e-01,1.926962920140636026e-01,-1.866198001782319593e-01,-1.939848045169956792e-01,2.052345830392643400e-01,-1.971211575009679251e-01
-1.845457169944634823e-01,-1.578041000610115041e-01,-1.835738188201562482e-01,-1.933685814250827584e-01,1.801857172655773331e-01,-1.978321577810304710e-01,-2.194422031794771577e-01,2.115124598142229251e-01,2.019432017209213115e-01
-1.868192097837885202e-01,-1.810021715673908738e-01,-1.954687624047763417e-01,-2.035644315718966590e-01,1.829695024023020589e-01,-1.936024692551590598e-01,1.723413399415350544e-01,-1.762373816363972667e-01,-1.991404922195643135e-01
-1.615990425102004913e-01,-1.580571471710144615e-01,-1.579787229629157908e-01,-1.946337509414170497e-01,1.867388192439569661e-01,-2.132055248640178924e-01,2.171943126167988347e-01,-2.106492908180740420e-01,1.908554492202313435e-01
-1.793409454376281853e-01,-1.930775936131642057e-01,-1.714177541126593596e-01,-1.948338955245771942e-01,1.870340291878973271e-01,-1.964062882228065077e-01,1.978508363962749872e-01,2.079561310358504223e-01,-2.140670908042090481e-01
-1.740139465210328029e-01,-1.739253443919956676e-01,-1.705219250487691740e-01,-1.990700031256763258e-01,1.944731442176350633e-01,-1.845998620984271588e-01,2.038635724929107884e-01,2.022060257311280584e-01,2.265169363714907291e-01
-1.965720701963464545e-01,-1.805304797683700835e-01,-1.553469930709223124e-01,-2.167404843873687037e-01,2.008402397471064360e-01,2.119633914330637248e-01,-1.719996533329612443e-01,-1.686353359239282923e-01,-1.654844349637794310e-01
-1.599607493911393286e-01,-1.779266552495769316e-01,-1.822132661422668221e-01,-2.076851395824148017e-01,2.048766231076653010e-01,2.174754820012740619e-01,-1.761671862643606479e-01,-1.839649642025131537e-01,1.993354605711893657e-01
-1.886270014391304428e-01,-1.953858327991326027e-01,-1.568170361946325808e-01,-2.059191824757768408e-01,1.991966508775077360e-01,1.971872712707284092e-01,-1.771661767163975609e-01,1.796039302017864436e-01,-1.783443424056317672e-01
-1.833894331189208915e-01,-1.771594404793339350e-01,-1.631547946238692259e-01,-2.063832064692304180e-01,2.197489566314309306e-01,1.765160780501809079e-01,-2.223454465626599486e-01,2.078699778944549659e-01,2.036238811668704685e-01
