A0,A1,B0,B1,Irrelevant,Correlated
7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,1.479166666666666685e-01,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,1.479166666666666685e-01,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,1.479166666666666685e-01,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,1.479166666666666685e-01,7.083333333333333148e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,7.083333333333333148e-02,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,7.083333333333333148e-02,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,7.083333333333333148e-02,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.458333333333333981e-02,6.458333333333333981e-02,7.083333333333333148e-02,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000278e-02,1.479166666666666685e-01,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000278e-02,1.479166666666666685e-01,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000278e-02,1.479166666666666685e-01,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000278e-02,1.479166666666666685e-01,1.479166666666666685e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.479166666666666685e-01,7.083333333333333148e-02,6.458333333333333981e-02,6.458333333333333981e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.479166666666666685e-01,7.083333333333333148e-02,6.458333333333333981e-02,6.458333333333333981e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.479166666666666685e-01,7.083333333333333148e-02,6.458333333333333981e-02,6.458333333333333981e-02,0.000000000000000000e+00,0.000000000000000000e+00
