Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
0.000000000000000000e+00,0.000000000000000000e+00,3.746279761904761779e-02,3.746279761904761779e-02,3.111359126984127033e-02,3.111359126984127033e-02,3.746279761904761779e-02,3.111359126984127033e-02,3.746279761904761779e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.746279761904761779e-02,3.746279761904761779e-02,3.111359126984127033e-02,3.111359126984127033e-02,3.746279761904761779e-02,3.111359126984127033e-02,3.746279761904761779e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.239831349206349409e-02,3.458581349206349409e-02,3.055555555555555455e-02,3.055555555555555455e-02,3.458581349206349409e-02,3.055555555555555455e-02,3.746279761904761779e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.239831349206349409e-02,3.458581349206349409e-02,3.055555555555555455e-02,3.055555555555555455e-02,3.458581349206349409e-02,3.055555555555555455e-02,3.746279761904761779e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.287450396825396942e-02,3.690476190476190549e-02,3.111359126984127033e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.287450396825396942e-02,3.690476190476190549e-02,3.111359126984127033e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.706597222222222238e-02,3.356894841269841140e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.356894841269841140e-02,3.055555555555555455e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.458581349206349409e-02,4.239831349206349409e-02,3.055555555555555455e-02,3.055555555555555455e-02,3.746279761904761779e-02,3.055555555555555455e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.458581349206349409e-02,4.239831349206349409e-02,3.055555555555555455e-02,3.055555555555555455e-02,3.746279761904761779e-02,3.055555555555555455e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.588789682539682280e-02,3.588789682539682280e-02,2.953869047619047533e-02,2.953869047619047533e-02,3.458581349206349409e-02,2.953869047619047533e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.588789682539682280e-02,3.588789682539682280e-02,2.953869047619047533e-02,2.953869047619047533e-02,3.458581349206349409e-02,2.953869047619047533e-02,3.458581349206349409e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.706597222222222238e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.690476190476190549e-02,3.055555555555555455e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.356894841269841140e-02,3.706597222222222238e-02,3.071676587301587144e-02,3.071676587301587144e-02,3.690476190476190549e-02,3.055555555555555455e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.022073412698412717e-02,2.619047619047619110e-02,2.619047619047619110e-02,3.356894841269841140e-02,2.953869047619047533e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.022073412698412717e-02,3.022073412698412717e-02,2.619047619047619110e-02,2.619047619047619110e-02,3.356894841269841140e-02,2.953869047619047533e-02,3.356894841269841140e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.111359126984127033e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.690476190476190549e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.690476190476190549e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.111359126984127033e-02,3.690476190476190549e-02,3.287450396825396942e-02,3.690476190476190549e-02,0.000000000000000000e+00
